                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.37553,                0.27322,                0.80181,                0.76976,                0.77243,                0.78247,                0.53773,                 1.1104,                 0.9032,                0.99232,               0.004654,               0.004654,               0.004654
                     56,                0.36446,                0.27793,                0.79964,                0.72224,                0.67441,                0.72916,                0.51144,                 1.1561,                 1.0761,                0.96983,               0.004555,               0.004555,               0.004555
                     57,                0.36379,                0.27171,                0.80079,                0.57703,                0.78751,                0.70883,                0.49206,                  1.121,                0.98146,                0.98397,               0.004456,               0.004456,               0.004456
                     58,                0.35351,                 0.2654,                0.80297,                0.65137,                0.70667,                0.67017,                0.47943,                 1.1085,                 1.0396,                0.96531,               0.004357,               0.004357,               0.004357
                     59,                0.34247,                0.26304,                0.79851,                0.71422,                0.73828,                0.73203,                0.52005,                 1.0739,                0.97222,                0.96126,               0.004258,               0.004258,               0.004258
                     60,                 0.3569,                0.25536,                0.79848,                 0.7436,                0.68284,                0.71467,                 0.5112,                 1.0837,                 1.0016,                0.96615,               0.004159,               0.004159,               0.004159
                     61,                0.33438,                 0.2493,                0.79474,                0.67382,                0.77485,                0.71673,                0.50449,                 1.1488,                 1.0373,                 0.9716,                0.00406,                0.00406,                0.00406
                     62,                 0.3143,                0.23852,                0.79503,                0.62995,                0.76043,                0.72087,                 0.5101,                 1.0921,                 1.0057,                0.97228,               0.003961,               0.003961,               0.003961
                     63,                0.32043,                0.24015,                0.79506,                0.63944,                0.79478,                0.74899,                0.53104,                 1.0697,                0.93136,                0.97091,               0.003862,               0.003862,               0.003862
                     64,                0.29874,                0.23663,                0.79358,                0.73026,                0.76188,                0.77083,                0.54663,                 1.1163,                0.85787,                0.96698,               0.003763,               0.003763,               0.003763
                     65,                0.29516,                0.23008,                0.79587,                0.72726,                0.77097,                0.74953,                0.52976,                 1.1748,                0.88433,                0.97138,               0.003664,               0.003664,               0.003664
                     66,                0.28745,                0.22776,                0.79438,                0.77914,                0.76129,                0.75536,                0.55027,                 1.0969,                0.87991,                0.96338,               0.003565,               0.003565,               0.003565
                     67,                0.29158,                0.22419,                0.79375,                0.74155,                0.75582,                0.75979,                 0.5545,                 1.0764,                0.87306,                0.96485,               0.003466,               0.003466,               0.003466
                     68,                0.27588,                0.21463,                0.79391,                0.67017,                0.77097,                0.73285,                0.52392,                 1.1416,                0.94286,                0.97669,               0.003367,               0.003367,               0.003367
                     69,                0.27333,                0.21437,                 0.7933,                0.69448,                0.69765,                0.73703,                0.53851,                 1.0925,                0.96443,                0.96639,               0.003268,               0.003268,               0.003268
                     70,                0.25815,                0.20505,                0.79408,                0.77391,                0.69075,                0.74397,                 0.5479,                 1.0949,                0.94933,                 0.9662,               0.003169,               0.003169,               0.003169
                     71,                0.25228,                0.20799,                0.79252,                0.71878,                0.75726,                0.74752,                  0.531,                 1.1135,                0.92732,                0.96731,                0.00307,                0.00307,                0.00307
