                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.41858,                0.31485,                0.80571,                0.74571,                0.74643,                0.72321,                0.51215,                 1.0754,                 1.1308,                0.97538,               0.005545,               0.005545,               0.005545
                     47,                0.41749,                0.30281,                0.80106,                0.76031,                0.77696,                0.76389,                0.54653,                 1.0847,                0.97466,                0.96514,               0.005446,               0.005446,               0.005446
                     48,                 0.4192,                0.30126,                0.80245,                0.72387,                0.73674,                 0.7406,                0.53322,                 1.0519,                 1.0624,                0.96809,               0.005347,               0.005347,               0.005347
                     49,                 0.4055,                0.30642,                0.80261,                0.68599,                0.79256,                 0.7923,                0.57281,                 1.0424,                 1.0358,                0.95788,               0.005248,               0.005248,               0.005248
                     50,                 0.3844,                0.29155,                0.79739,                0.74086,                 0.8086,                0.79383,                0.56991,                  1.013,                0.88267,                0.94531,               0.005149,               0.005149,               0.005149
                     51,                0.38067,                0.28694,                0.79943,                0.72132,                0.75758,                 0.7771,                0.56471,                 1.0425,                0.95653,                0.96394,                0.00505,                0.00505,                0.00505
                     52,                0.35634,                0.27882,                0.79666,                0.68447,                0.75758,                0.73889,                0.52665,                 1.0707,                 0.9289,                0.93765,               0.004951,               0.004951,               0.004951
                     53,                0.36616,                0.27895,                0.80059,                0.79948,                0.70346,                0.77252,                0.55326,                 1.0912,                0.96235,                0.93506,               0.004852,               0.004852,               0.004852
                     54,                0.34043,                0.25904,                 0.8009,                 0.7821,                0.72346,                0.78537,                0.56993,                 1.0449,                0.88827,                0.94912,               0.004753,               0.004753,               0.004753
                     55,                0.34491,                0.26384,                0.79599,                0.70888,                0.76657,                0.77074,                0.55141,                 1.0254,                0.91228,                0.95281,               0.004654,               0.004654,               0.004654
                     56,                0.33098,                0.26289,                0.79201,                0.66497,                0.79225,                 0.7653,                0.53923,                   1.05,                0.92555,                0.95279,               0.004555,               0.004555,               0.004555
                     57,                0.32216,                0.25899,                0.79597,                0.66959,                0.75974,                0.72869,                0.52056,                 1.0497,                0.98793,                0.94692,               0.004456,               0.004456,               0.004456
                     58,                0.31378,                0.24389,                0.79603,                0.73921,                0.69995,                0.76015,                0.54884,                 1.0634,                 1.0293,                0.95222,               0.004357,               0.004357,               0.004357
                     59,                0.29556,                0.23885,                0.79439,                0.80213,                0.69995,                0.77129,                0.55691,                 1.0798,                 1.0638,                0.95279,               0.004258,               0.004258,               0.004258
                     60,                0.28788,                0.23707,                0.79334,                0.81147,                0.68272,                0.76619,                0.55207,                 1.0252,                 1.0405,                0.95867,               0.004159,               0.004159,               0.004159
                     61,                0.30453,                0.23145,                0.78916,                0.75781,                0.71076,                 0.7814,                0.56579,                 1.0762,                 1.0256,                0.95746,                0.00406,                0.00406,                0.00406
