                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.38099,                0.28135,                0.80485,                0.78386,                0.73633,                0.74421,                0.53694,                 1.1678,                   1.08,                0.95438,               0.004753,               0.004753,               0.004753
                     55,                0.38288,                0.27983,                0.79959,                0.73368,                0.77364,                0.74205,                0.52749,                 1.1654,                 1.0468,                0.96114,               0.004654,               0.004654,               0.004654
                     56,                0.37397,                0.28395,                 0.7976,                0.71905,                0.76206,                0.74843,                0.55459,                 1.1135,                0.98723,                0.94981,               0.004555,               0.004555,               0.004555
                     57,                0.35786,                0.27181,                0.80069,                0.69261,                0.78557,                0.74648,                0.54393,                 1.0959,                 1.0301,                0.95552,               0.004456,               0.004456,               0.004456
                     58,                0.34576,                0.26225,                0.80053,                0.77842,                0.74622,                0.74827,                0.55271,                 1.1242,                 1.0435,                0.94549,               0.004357,               0.004357,               0.004357
                     59,                0.34029,                0.25744,                0.79741,                0.75583,                0.74529,                0.76755,                0.57692,                 1.0716,                 1.1455,                0.93391,               0.004258,               0.004258,               0.004258
                     60,                 0.3265,                0.24851,                0.79773,                0.78222,                0.76609,                0.77049,                0.57159,                 1.0854,                 1.0403,                0.95457,               0.004159,               0.004159,               0.004159
                     61,                0.31978,                0.25215,                0.79198,                0.74502,                0.80993,                0.76719,                0.55764,                 1.1424,                0.92257,                0.96623,                0.00406,                0.00406,                0.00406
                     62,                0.30399,                0.23476,                0.79387,                0.82058,                0.70644,                0.78374,                0.58584,                 1.0317,                 0.9401,                0.93876,               0.003961,               0.003961,               0.003961
                     63,                0.29427,                 0.2306,                0.79471,                0.78934,                0.79085,                0.78547,                0.57001,                 1.1061,                0.88779,                 0.9615,               0.003862,               0.003862,               0.003862
                     64,                0.29485,                0.23014,                0.79113,                  0.834,                0.73872,                0.76918,                0.58272,                 0.9876,                0.92904,                0.93206,               0.003763,               0.003763,               0.003763
                     65,                0.28822,                 0.2265,                0.79478,                0.82612,                0.80034,                 0.7835,                0.57534,                 1.1189,                0.98069,                0.94342,               0.003664,               0.003664,               0.003664
                     66,                0.28891,                0.22963,                0.79262,                0.80803,                0.79951,                0.76773,                0.55484,                 1.0838,                0.98245,                0.94989,               0.003565,               0.003565,               0.003565
                     67,                0.27163,                0.22221,                0.78892,                0.72421,                0.79562,                0.74616,                0.56455,                 1.0291,                0.99783,                 0.9364,               0.003466,               0.003466,               0.003466
                     68,                0.27656,                0.22238,                0.79161,                 0.7733,                0.77656,                 0.7593,                0.56344,                 1.1171,                 1.0082,                0.95143,               0.003367,               0.003367,               0.003367
                     69,                0.26167,                0.21187,                0.79147,                0.82228,                0.78412,                0.78137,                0.58406,                 1.0615,                 1.0196,                 0.9434,               0.003268,               0.003268,               0.003268
                     70,                0.25258,                0.20934,                0.79251,                0.84099,                0.74506,                0.77357,                0.58008,                0.98163,                  0.987,                0.94319,               0.003169,               0.003169,               0.003169
                     71,                0.25696,                 0.2068,                 0.7916,                 0.8266,                 0.7617,                0.77611,                0.58035,                 1.1232,                 1.0107,                0.95135,                0.00307,                0.00307,                0.00307
                     72,                0.24616,                0.20393,                0.79274,                0.81852,                0.73201,                0.74789,                0.56271,                 1.0674,                 1.0034,                0.95412,               0.002971,               0.002971,               0.002971
                     73,                0.23618,                0.19664,                 0.7898,                0.77863,                0.76231,                0.76748,                0.57934,                 1.0508,                 1.0679,                0.94548,               0.002872,               0.002872,               0.002872
